epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
108,1606.84,0.43715,0.37799,0.93493,0.9583,0.91573,0.96505,0.80813,0.70121,0.43088,1.04293,0.000395064,0.000395064,0.000395064
109,1620.8,0.41212,0.34473,0.91679,0.94792,0.95506,0.96992,0.81713,0.6796,0.4195,1.02835,0.00037895,0.00037895,0.00037895
110,1634.75,0.43427,0.37178,0.94317,0.95949,0.95506,0.96863,0.82242,0.68265,0.42895,1.01941,0.000363114,0.000363114,0.000363114
111,1648.74,0.43129,0.34279,0.93294,0.94925,0.94572,0.96935,0.81778,0.70756,0.46265,1.04005,0.000347561,0.000347561,0.000347561
112,1662.61,0.45535,0.34997,0.94694,0.97579,0.91011,0.96693,0.81307,0.69485,0.4598,1.03454,0.000332298,0.000332298,0.000332298
113,1676.55,0.4105,0.32695,0.93051,0.95179,0.94382,0.9629,0.81273,0.68062,0.45025,1.02169,0.000317333,0.000317333,0.000317333
114,1690.53,0.43373,0.33347,0.93199,0.96543,0.94136,0.96217,0.82206,0.66648,0.43411,1.0213,0.000302672,0.000302672,0.000302672
115,1704.64,0.39993,0.32106,0.91779,0.9534,0.9382,0.96212,0.81823,0.67207,0.45702,1.01739,0.000288321,0.000288321,0.000288321
116,1718.68,0.42389,0.33347,0.92175,0.94412,0.9492,0.96182,0.81667,0.66633,0.45025,1.00346,0.000274287,0.000274287,0.000274287
117,1732.63,0.42061,0.34225,0.92292,0.96465,0.96067,0.97403,0.81265,0.67796,0.41985,1.00595,0.000260575,0.000260575,0.000260575
118,1746.64,0.40956,0.342,0.91819,0.93434,0.97191,0.97358,0.81931,0.6723,0.40574,1.02347,0.000247192,0.000247192,0.000247192
119,1760.64,0.39525,0.31215,0.91873,0.93669,0.97191,0.97505,0.81544,0.66487,0.41736,1.0152,0.000234143,0.000234143,0.000234143
120,1774.65,0.41924,0.34323,0.92291,0.93844,0.94203,0.97214,0.81066,0.67018,0.4527,1.01166,0.000221435,0.000221435,0.000221435
121,1788.59,0.39828,0.32186,0.9147,0.92198,0.94382,0.9713,0.81304,0.6806,0.45412,1.00911,0.000209073,0.000209073,0.000209073
122,1802.53,0.39794,0.32994,0.91727,0.95824,0.94944,0.97406,0.81728,0.67147,0.43948,1.00109,0.000197062,0.000197062,0.000197062
123,1816.44,0.40232,0.31655,0.92799,0.93938,0.96629,0.98029,0.82302,0.66327,0.41655,1.00548,0.000185408,0.000185408,0.000185408
124,1830.33,0.3959,0.32202,0.90895,0.95507,0.95528,0.97966,0.82249,0.66467,0.41888,1.02095,0.000174115,0.000174115,0.000174115
125,1844.35,0.38644,0.30416,0.91194,0.95213,0.94944,0.97482,0.81985,0.65348,0.42447,1.0111,0.000163189,0.000163189,0.000163189
126,1858.29,0.39032,0.31847,0.92024,0.95456,0.94415,0.97675,0.81407,0.65653,0.43288,1.00708,0.000152635,0.000152635,0.000152635
127,1872.21,0.38208,0.3137,0.91611,0.94997,0.96067,0.97383,0.81164,0.66687,0.43427,1.01394,0.000142456,0.000142456,0.000142456
128,1886.2,0.39019,0.31948,0.92015,0.97107,0.94282,0.97398,0.81597,0.66947,0.43541,1.01424,0.000132658,0.000132658,0.000132658
129,1900.22,0.36219,0.30565,0.90194,0.96559,0.94601,0.97087,0.81861,0.67711,0.43133,1.03124,0.000123245,0.000123245,0.000123245
130,1914.18,0.38592,0.31942,0.91805,0.9653,0.93775,0.96855,0.82467,0.69355,0.43813,1.042,0.000114221,0.000114221,0.000114221
131,1928.22,0.38272,0.30833,0.90723,0.94937,0.94804,0.97215,0.82584,0.68201,0.42885,1.02313,0.00010559,0.00010559,0.00010559
132,1942.33,0.36521,0.29902,0.90517,0.94841,0.92959,0.96846,0.81979,0.68835,0.43933,1.03294,9.73555e-05,9.73555e-05,9.73555e-05
133,1956.19,0.36783,0.30251,0.90992,0.93851,0.94321,0.96425,0.80889,0.69771,0.45019,1.04834,8.95213e-05,8.95213e-05,8.95213e-05
134,1970.11,0.36593,0.30422,0.9121,0.93884,0.94944,0.96795,0.81648,0.67861,0.43548,1.03253,8.20908e-05,8.20908e-05,8.20908e-05
135,1984.15,0.3717,0.31369,0.91796,0.95886,0.94382,0.97065,0.82204,0.67308,0.42853,1.02616,7.50674e-05,7.50674e-05,7.50674e-05
136,1997.71,0.2849,0.23068,0.83187,0.96552,0.94376,0.97102,0.81025,0.68028,0.42728,1.03441,6.8454e-05,6.8454e-05,6.8454e-05
137,2011.5,0.2885,0.20651,0.81814,0.94908,0.94249,0.96822,0.80126,0.69189,0.43209,1.04913,6.22537e-05,6.22537e-05,6.22537e-05
138,2025.11,0.27182,0.19401,0.82413,0.9475,0.94382,0.96725,0.80043,0.69329,0.43536,1.05656,5.64691e-05,5.64691e-05,5.64691e-05
139,2038.7,0.27091,0.1953,0.82662,0.95473,0.94795,0.9679,0.79826,0.70321,0.43723,1.06771,5.11027e-05,5.11027e-05,5.11027e-05
140,2052.4,0.26591,0.19069,0.8283,0.95253,0.9382,0.96633,0.79379,0.71362,0.4422,1.09556,4.61569e-05,4.61569e-05,4.61569e-05
141,2066.09,0.26811,0.18293,0.80993,0.95449,0.94259,0.96489,0.79477,0.71087,0.45377,1.09794,4.16339e-05,4.16339e-05,4.16339e-05
142,2079.71,0.26257,0.18964,0.82388,0.95125,0.94944,0.96367,0.79447,0.71375,0.45333,1.10087,3.75356e-05,3.75356e-05,3.75356e-05
143,2093.29,0.26,0.18215,0.81869,0.94401,0.9382,0.95871,0.79767,0.70741,0.44623,1.09178,3.38639e-05,3.38639e-05,3.38639e-05
144,2106.93,0.25896,0.18357,0.81657,0.94942,0.94913,0.96602,0.80045,0.70492,0.44913,1.08832,3.06204e-05,3.06204e-05,3.06204e-05
145,2120.53,0.26499,0.18751,0.81605,0.95494,0.95258,0.97286,0.80626,0.70588,0.44623,1.08681,2.78064e-05,2.78064e-05,2.78064e-05
146,2134.18,0.25824,0.18551,0.82592,0.95026,0.94944,0.97281,0.81084,0.70508,0.43847,1.08486,2.54233e-05,2.54233e-05,2.54233e-05
147,2147.87,0.24937,0.17696,0.81886,0.95467,0.94652,0.9709,0.81216,0.70601,0.43709,1.08388,2.34721e-05,2.34721e-05,2.34721e-05
148,2161.66,0.24588,0.17522,0.81068,0.96528,0.93725,0.97247,0.81814,0.70495,0.43508,1.0784,2.19535e-05,2.19535e-05,2.19535e-05
149,2175.66,0.24782,0.176,0.80579,0.9653,0.93778,0.97349,0.81722,0.70457,0.43697,1.07442,2.08684e-05,2.08684e-05,2.08684e-05
150,2189.6,0.2564,0.1808,0.81255,0.94938,0.94836,0.97298,0.81714,0.70095,0.42867,1.07484,2.02171e-05,2.02171e-05,2.02171e-05
